id,name,class,year,arabic,english,math,science,geo,history,computer,writing,islamic,note
2025000,سارة رمضان الكزة,الأول إعدادي,2024 / 2025,59,39,144,91,33,36,45,31,38,لا يوجد
2025001,كريمة المهدي أرحومة,الثالث إعدادي,2024 / 2025,86,75,166,67,72,33,18,25,56,لا يوجد
2025002,بدر عمر العلواني,الثاني إعدادي,2024 / 2025,48,78,98,84,52,42,25,23,37,لا يوجد
2025003,خديجة عبدالمجيد التركي,الثالث إعدادي,2024 / 2025,78,52,188,81,29,77,27,27,83,لا يوجد
2025004,أمل فرج المجري,الثالث إعدادي,2024 / 2025,61,47,78,36,37,40,43,41,48,لا يوجد
2025005,خالد فتح الله بن خليفة,الأول إعدادي,2024 / 2025,93,32,200,84,34,80,37,29,45,لا يوجد
2025006,وليد فرج الكوافي,الثاني إعدادي,2024 / 2025,46,43,100,59,45,63,39,46,71,لا يوجد
2025007,خديجة نوري بشير,الأول إعدادي,2024 / 2025,47,39,70,85,60,78,36,37,82,لا يوجد
2025008,عامر عطية المسلمي,الثالث إعدادي,2024 / 2025,93,55,96,84,62,79,35,34,67,لا يوجد
2025009,حامد فرج الكوافي,الثالث إعدادي,2024 / 2025,96,50,127,69,45,67,34,32,79,لا يوجد
2025010,وليد عبدالرحمن العرفي,الثالث إعدادي,2024 / 2025,96,71,170,49,43,36,35,30,64,لا يوجد
2025011,أمل نصر الداقل,الثالث إعدادي,2024 / 2025,63,76,108,73,73,72,34,33,57,لا يوجد
2025012,إبراهيم فرج الكوافي,الأول إعدادي,2024 / 2025,65,30,111,35,39,44,23,18,91,لا يوجد
2025013,رقية عطية المسلمي,الثالث إعدادي,2024 / 2025,47,46,100,57,33,49,30,39,94,لا يوجد
2025014,أمير حسن بوزيد,الثاني إعدادي,2024 / 2025,63,76,153,89,46,32,33,45,96,لا يوجد
2025015,عيسى محمد المبروك,الأول إعدادي,2024 / 2025,87,57,99,44,32,50,45,22,41,لا يوجد
2025016,ملاك فتحي العبيدي,الثاني إعدادي,2024 / 2025,71,38,122,95,64,34,24,45,93,لا يوجد
